PF,CLAN
PF00003,CL0192
PF00034,CL0318
PF00061,CL0116
PF00091,CL0566
PF00092,CL0128
PF00100,CL0159
PF00104,
PF00115,
PF00144,CL0013
PF00149,CL0163
PF00163,CL0492
PF00188,CL0659
PF00190,CL0029
PF00215,CL0036
PF00296,
PF00326,CL0028
PF00335,CL0347
PF00482,
PF00487,
PF00496,CL0177
PF00520,CL0030
PF00535,CL0110
PF00583,CL0257
PF00590,
PF00593,CL0193
PF00656,CL0093
PF00696,
PF00702,CL0137
PF00753,CL0381
PF00759,CL0059
PF00814,CL0108
PF00858,
PF00881,CL0529
PF00882,CL0368
PF00890,CL0063
PF00995,
PF00999,CL0064
PF01014,CL0334
PF01048,CL0408
PF01061,CL0181
PF01062,
PF01087,CL0265
PF01105,CL0521
PF01124,
PF01127,CL0335
PF01145,CL0433
PF01156,
PF01168,CL0036
PF01261,CL0036
PF01266,CL0063
PF01284,CL0396
PF01292,CL0328
PF01368,CL0137
PF01399,CL0123
PF01416,CL0649
PF01459,CL0193
PF01467,CL0039
PF01523,
PF01546,CL0035
PF01547,CL0177
PF01579,
PF01590,CL0161
PF01636,CL0016
PF01734,CL0323
PF01804,CL0052
PF01814,
PF01832,CL0037
PF01850,CL0280
PF01925,CL0292
PF01937,
PF01944,
PF01963,CL0572
PF01970,
PF01987,CL0029
PF01992,
PF02221,CL0532
PF02272,
PF02301,CL0651
PF02321,CL0105
PF02322,
PF02332,CL0044
PF02350,CL0113
PF02441,
PF02589,CL0246
PF02596,
PF02621,CL0177
PF02635,CL0394
PF02668,CL0029
PF02687,CL0404
PF02732,CL0236
PF02743,CL0165
PF02752,CL0135
PF02769,
PF02782,CL0108
PF02811,CL0034
PF02901,CL0339
PF03061,CL0050
PF03063,
PF03067,CL0159
PF03105,
PF03153,
PF03167,
PF03168,CL0159
PF03171,CL0029
PF03313,
PF03321,CL0378
PF03364,CL0209
PF03372,CL0530
PF03435,CL0063
PF03463,CL0267
PF03472,CL0161
PF03567,CL0023
PF03595,
PF03600,CL0182
PF03611,
PF03619,
PF03695,
PF03706,
PF03739,CL0404
PF03743,
PF03787,CL0362
PF03797,CL0193
PF03798,
PF03799,
PF03864,CL0373
PF03924,CL0165
PF03929,CL0490
PF03942,
PF04043,
PF04051,CL0210
PF04055,CL0036
PF04069,CL0177
PF04108,
PF04130,CL0540
PF04157,CL0123
PF04180,
PF04199,CL0364
PF04230,CL0113
PF04245,
PF04250,
PF04264,
PF04286,
PF04290,
PF04335,CL0051
PF04386,
PF04390,CL0342
PF04402,
PF04427,CL0458
PF04515,
PF04546,CL0123
PF04577,
PF04587,CL0118
PF04675,
PF04757,
PF04791,
PF04857,CL0219
PF04860,
PF04892,
PF04893,CL0112
PF04909,CL0034
PF04932,CL0499
PF04981,
PF05050,CL0063
PF05065,CL0373
PF05130,
PF05138,CL0044
PF05139,CL0572
PF05140,
PF05192,
PF05193,CL0094
PF05226,
PF05228,CL0165
PF05235,
PF05236,CL0012
PF05504,
PF05649,
PF05679,CL0110
PF05794,
PF05816,
PF05942,CL0291
PF05960,CL0126
PF06050,CL0108
PF06067,
PF06087,CL0479
PF06090,CL0016
PF06097,
PF06197,CL0412
PF06224,CL0123
PF06245,
PF06271,
PF06283,CL0014
PF06419,CL0295
PF06445,CL0319
PF06480,
PF06527,
PF06629,CL0193
PF06664,
PF06834,
PF06870,CL0662
PF06999,
PF07238,
PF07264,
PF07331,
PF07510,CL0263
PF07575,
PF07670,
PF07687,
PF07690,CL0015
PF07695,CL0192
PF07696,CL0202
PF07697,
PF07751,
PF08208,CL0662
PF08324,
PF08376,
PF08395,CL0176
PF08463,
PF08489,CL0221
PF08495,
PF08522,CL0594
PF08592,
PF08598,
PF08631,CL0020
PF08647,
PF08702,
PF08733,
PF08808,
PF08811,
PF08843,CL0260
PF09073,
PF09090,CL0020
PF09273,
PF09346,CL0526
PF09353,
PF09366,
PF09375,
PF09414,CL0078
PF09455,CL0236
PF09481,
PF09485,
PF09529,
PF09531,
PF09594,CL0111
PF09704,CL0362
PF09709,
PF09742,CL0456
PF09754,CL0408
PF09814,CL0552
PF09822,CL0014
PF09843,
PF09900,
PF09903,
PF09924,CL0257
PF09972,
PF09995,
PF10040,CL0362
PF10101,
PF10145,
PF10165,
PF10237,CL0063
PF10250,CL0113
PF10253,
PF10259,
PF10277,CL0412
PF10416,CL0123
PF10513,
PF10592,
PF10604,CL0209
PF10607,
PF10677,CL0193
PF10722,CL0097
PF10914,
PF11051,CL0110
PF11130,
PF11188,
PF11209,
PF11306,CL0048
PF11563,CL0090
PF11701,CL0020
PF11709,
PF11799,
PF11832,
PF11838,CL0159
PF11845,
PF11951,CL0507
PF11964,CL0502
PF11984,
PF12008,
PF12019,CL0327
PF12036,CL0192
PF12079,
PF12161,
PF12215,CL0103
PF12311,
PF12320,
PF12680,CL0051
PF12686,
PF12697,CL0028
PF12698,CL0181
PF12704,
PF12705,CL0236
PF12706,CL0381
PF12710,CL0137
PF12767,
PF12792,
PF12849,CL0177
PF12867,CL0310
PF12969,CL0672
PF13012,
PF13145,CL0487
PF13148,
PF13149,CL0450
PF13185,CL0161
PF13188,CL0183
PF13197,
PF13229,CL0268
PF13259,
PF13279,CL0050
PF13280,CL0654
PF13302,CL0257
PF13304,CL0023
PF13387,
PF13407,CL0144
PF13416,CL0177
PF13424,CL0020
PF13426,CL0183
PF13432,CL0020
PF13458,CL0144
PF13472,CL0264
PF13476,CL0023
PF13479,CL0023
PF13480,CL0257
PF13505,CL0193
PF13531,CL0177
PF13546,CL0219
PF13557,CL0193
PF13563,CL0247
PF13567,
PF13579,CL0113
PF13584,
PF13590,
PF13609,CL0193
PF13622,CL0050
PF13632,CL0110
PF13648,CL0116
PF13707,
PF13858,
PF13868,
PF13886,
PF13908,
PF13968,
PF14009,
PF14014,
PF14022,
PF14032,CL0619
PF14054,
PF14060,
PF14065,
PF14092,
PF14093,
PF14103,
PF14121,CL0193
PF14238,
PF14278,CL0174
PF14303,
PF14356,
PF14450,CL0108
PF14518,CL0230
PF14524,CL0159
PF14525,CL0029
PF14534,CL0051
PF14610,CL0159
PF14611,CL0007
PF14897,CL0111
PF14905,CL0193
PF14907,CL0260
PF15377,
PF16015,
PF16289,CL0280
PF16653,CL0139
PF16686,CL0021
PF17681,CL0540
PF17853,CL0276
PF18145,
PF18730,CL0291
PF18734,CL0291
PF18735,CL0291
PF18739,CL0291
PF18754,
PF18810,CL0688
PF18813,CL0688
PF18856,CL0267
PF18863,
